model,n_images,auc,nss,sim,kl
AIM,100,0.6852816508793143,0.5859828591346741,0.2547096610069275,2.1168606281280518
SUN,100,0.6176971703082684,0.4011784791946411,0.24967552721500397,2.014173746109009
Finegrain,5000,0.5942431589305847,0.32537320256233215,0.24435949325561523,2.094982385635376
SpectralRes,5000,0.6259250148859732,0.464740514755249,0.25246918201446533,2.0464930534362793
BMS,5000,0.6122939734401318,0.39499613642692566,0.22538915276527405,3.4705123901367188
IKN,5000,0.6297523905435308,0.4551558494567871,0.2549380958080292,1.993483543395996
